Item ID,Item,Status,Source Documents,Coverage,Evidence,Suggestion,Compliance
MOD-A-1.1,"Cloud & AI Adoption Business Strategy: Partner must demonstrate two specific assessments for two unique customers within the last 12 months to show both customer Business and FinOps outcomes.",partial,"Questionnaire, Requirement Gathering",partial,"Customer-specific context and goals are captured in the 'Customer Information' section of the Questionnaire and the 'Assessment Summary' in Requirement Gathering. However, no explicit mention of FinOps outcomes or a second customer.","Provide evidence of FinOps outcomes and a second customer assessment.",75%
MOD-A-1.2,"Cloud & AI Adoption Plan: Partner must provide cost management Report with pricing calculator output AND DevOps Capability Assessment for two unique customer projects in the past 12 months.",non_compliant,"",none,"No evidence of cost management reports, pricing calculator outputs, or DevOps Capability Assessments found in any document.","Include cost management reports and DevOps Capability Assessments for two unique customers.",60%
MOD-A-2.1,"Security & Governance Tooling: Partner must demonstrate a security baseline using Microsoft Defender for Cloud or third-party solution and Cloud Adoption Security Review for two unique customers.",non_compliant,"",none,"No mention of security baseline or Cloud Adoption Security Review in any document.","Provide evidence of security baseline and Cloud Adoption Security Review for two customers.",60%
MOD-A-2.2,"Well-Architected Workloads: Partner must provide Well-Architected Review completed before deployment for two unique customer projects in the past 12 months.",non_compliant,"",none,"No evidence of Well-Architected Reviews found in any document.","Include Well-Architected Reviews for two unique customer projects.",60%
MOD-A-3.1,"Repeatable Deployment: Partner must demonstrate Azure Landing Zone deployment with Identity, Networking, and Resource Organization for two unique customers using Bicep, Terraform, or ARM templates.",non_compliant,"",none,"No mention of Azure Landing Zone deployment or use of Bicep, Terraform, or ARM templates in any document.","Provide evidence of Azure Landing Zone deployments for two customers.",60%
MOD-A-3.2,"Plan for Skilling: Partner must provide a skilling plan for two unique customer engagements in the last 12 months including technical roles and knowledge transfer resources.",non_compliant,"",none,"No evidence of skilling plans or knowledge transfer resources found in any document.","Include skilling plans for two unique customer engagements.",60%
MOD-A-3.3,"Operations Management Tooling: Partner must demonstrate Azure Monitor, Azure Automation, or Azure Backup for two unique customers. May be skipped for Analytics on Azure if no tooling is deployed.",partial,"Solution Document",partial,"The Solution Document mentions monitoring and alerting as part of operational reliability, but no specific mention of Azure Monitor, Azure Automation, or Azure Backup.","Provide explicit evidence of Azure Monitor, Azure Automation, or Azure Backup usage.",70%
MOD-B-1.1,"Analytics Portfolio Assessment: Partner must demonstrate assessment covering Business need, Application Landscape, Performance Benchmarks, User Personas, and Skilling Plan for three unique customers within 24 months.",partial,"Questionnaire, Requirement Gathering",partial,"The Questionnaire and Requirement Gathering documents cover Business need, Application Landscape, and User Personas for one customer. No evidence of Performance Benchmarks or Skilling Plan for three customers.","Include Performance Benchmarks and Skilling Plans for three customers.",75%
MOD-B-2.1,"Solution Design: Partner must provide solution designs covering Ingestion Engine, Data Storage, Encryption, Security, Analytics Service (Azure Synapse OR Azure Databricks OR Microsoft Fabric OR Dedicated SQL Pool), DevOps, and Azure Landing Zone for three unique customers within 24 months.",partial,"Solution Document",partial,"Section 3.0 Solution Overview describes the Azure-based analytics architecture, including ingestion, processing, and analytics requirements. However, it does not explicitly cover all required components (e.g., Encryption, DevOps, Azure Landing Zone).","Expand the solution design to explicitly address Encryption, DevOps, and Azure Landing Zone.",75%
MOD-B-2.2,"Azure Well-Architected Review: Partner must provide exported results for two of five pillars in the Core Well-Architected Review for three customers within the last 12 months.",non_compliant,"",none,"No evidence of Azure Well-Architected Review results found in any document.","Provide exported results for at least two pillars of the Azure Well-Architected Review for three customers.",95%
MOD-B-2.3,"Proof of Concept or Pilot: Partner must provide three completed analytics POCs or pilots using Azure Synapse Analytics OR Azure Databricks OR Microsoft Fabric OR Dedicated SQL Pool within 24 months.",partial,"Requirement Gathering, Solution Document",partial,"Requirement Gathering mentions PoC/pilot engagements for analytics workloads, and Solution Document describes modernization efforts using Azure analytics services. However, explicit evidence of three completed POCs or pilots is missing.","Provide documentation of three completed analytics POCs or pilots.",80%
MOD-B-3.1,"Deployment: Partner must provide deployment evidence for three unique customers with full project documentation including SOW, architecture diagrams, HLD/LLD, and as-built documentation within 24 months.",partial,"Solution Document",partial,"Solution Document includes high-level solution design and architecture overview but lacks explicit SOW, HLD/LLD, and as-built documentation for three unique customers.","Include full deployment documentation for three unique customers.",70%
MOD-B-4.1,"Service Validation and Testing: Partner must provide testing and performance validation documentation with customer sign-off for three unique customers within 24 months.",non_compliant,"",none,"No evidence of testing and performance validation documentation or customer sign-off found in any document.","Provide testing and performance validation documentation with customer sign-off for three unique customers.",90%
MOD-B-4.2,"Post-deployment Documentation: Partner must provide post-deployment documentation including Standard Operating Procedures for three unique customers within 24 months.",non_compliant,"",none,"No evidence of post-deployment documentation or Standard Operating Procedures found in any document.","Provide post-deployment documentation including Standard Operating Procedures for three unique customers.",90%
